country_txt,country_iso,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
China,CHN,"17,4","17,292","17,184","17,184","17,292","17,4","17,46","17,52","17,9","18,617","19,358","20,118","20,902","21,545","22,203","22,874","23,559","24,259","24,974","25,701","26,442","27,312","28,2","29,103","30,024","30,961","31,916","32,883","33,867","34,865","35,877","37,093","38,425","39,776","41,144","42,522","43,868","45,199","46,539","47,88","49,226","50,573","51,889","53,168","54,41","55,614"
Cote d'Ivoire,CIV,"28,163","28,934","29,719","30,513","31,321","32,229","33,594","34,983","36,4","36,614","36,829","37,044","37,26","37,476","37,693","37,91","38,127","38,346","38,608","38,976","39,345","39,716","40,088","40,461","40,835","41,21","41,587","41,964","42,342","42,886","43,541","44,195","44,853","45,513","46,175","46,836","47,5","48,266","49,034","49,8","50,557","51,305","52,041","52,766","53,479","54,18"
Cameroon,CMR,"20,3","21,584","22,927","24,324","25,78","27,292","28,678","29,469","30,274","31,091","31,921","32,761","33,613","34,476","35,35","36,232","37,124","37,941","38,511","39,082","39,657","40,235","40,817","41,399","41,985","42,573","43,164","43,755","44,348","44,944","45,542","46,139","46,738","47,338","47,94","48,541","49,143","49,741","50,337","50,928","51,516","52,099","52,677","53,25","53,819","54,381"
"Congo, Rep.",COG,"39,129","39,919","40,715","41,514","42,357","43,264","44,177","45,091","46,01","46,932","47,857","48,781","49,707","50,633","51,56","52,221","52,642","53,064","53,485","53,905","54,324","54,743","55,162","55,58","55,996","56,413","56,832","57,299","57,766","58,231","58,695","59,156","59,617","60,076","60,533","60,988","61,441","61,893","62,341","62,786","63,228","63,666","64,1","64,531","64,957","65,38"
Colombia,COL,"54,82","55,574","56,327","57,075","57,811","58,539","59,265","59,985","60,701","61,413","62,121","62,822","63,519","64,21","64,896","65,574","66,154","66,691","67,225","67,752","68,276","68,796","69,311","69,82","70,199","70,516","70,832","71,146","71,457","71,767","72,075","72,38","72,683","72,984","73,284","73,581","73,876","74,169","74,46","74,749","75,036","75,321","75,603","75,883","76,161","76,436"
Comoros,COM,"19,39","19,75","20,115","20,484","20,859","21,239","21,625","22,014","22,41","22,81","23,215","23,649","24,095","24,548","25,006","25,469","25,938","26,413","26,893","27,378","27,869","28,366","28,435","28,39","28,346","28,301","28,257","28,213","28,168","28,124","28,08","28,036","27,992","27,947","27,903","27,873","27,855","27,851","27,86","27,882","27,918","27,966","28,029","28,104","28,193","28,296"
Cabo Verde,CPV,"19,559","19,9","20,272","20,649","21,031","21,419","21,812","22,209","22,612","23,02","23,518","24,995","26,535","28,133","29,792","31,5","33,885","36,355","38,902","41,504","44,12","45,044","45,973","46,902","47,834","48,768","49,704","50,637","51,572","52,505","53,435","54,291","55,146","55,997","56,846","57,689","58,529","59,363","60,194","61,016","61,833","62,624","63,389","64,127","64,84","65,526"
Costa Rica,CRI,"38,827","39,445","40,068","40,655","41,002","41,349","41,698","42,046","42,396","42,747","43,099","43,45","43,803","44,156","44,542","45,445","46,353","47,263","48,176","49,088","50,002","50,916","51,83","52,741","53,651","54,559","55,465","56,365","57,262","58,154","59,049","60,407","61,751","63,077","64,385","65,669","66,932","68,172","69,387","70,573","71,734","72,866","73,94","74,956","75,915","76,821"
Caribbean small states,CSS,"34,2635475086","34,5292083065","34,8768312207","35,3050204625","35,7223546356","36,1341426817","36,5442462667","36,9479239482","37,350264667","37,7541458011","38,1471422994","38,3153468046","38,5040532882","38,5792702616","38,6667968863","38,7594225982","38,8616027639","38,9647855658","39,0651120429","39,1914093451","39,3278277442","39,5489351325","39,7562878435","39,9642747309","40,1751002926","40,3917135239","40,6283320889","40,8572035569","41,0841841783","41,3002845287","41,494098905","41,580781882","41,6113703972","41,635788738","41,6632936836","41,6841479282","41,7080005438","41,7345574048","41,7629245024","41,7921551991","41,8244054345","41,8772756914","41,9370104089","42,0050902262","42,083095888","42,1728079649"
Cuba,CUB,"60,266","60,976","61,8","62,614","63,423","64,224","65,018","65,802","66,579","67,346","68,106","68,853","69,414","69,925","70,433","70,933","71,43","71,921","72,408","72,888","73,364","73,676","73,827","73,977","74,127","74,277","74,426","74,618","74,855","75,089","75,323","75,555","75,785","75,947","76,041","76,134","76,227","76,32","76,413","76,505","76,597","76,689","76,781","76,872","76,97","77,074"
Curacao,CUW,"78,448","78,799","79,146","79,488","79,827","80,161","80,491","80,817","81,138","81,456","81,769","82,078","82,383","82,684","82,982","83,274","83,563","83,848","84,129","84,405","84,678","84,947","85,444","86,224","86,969","87,68","88,358","89,002","89,615","90,198","90,752","91,011","90,894","90,775","90,655","90,534","90,411","90,287","90,161","90,034","89,905","89,775","89,652","89,537","89,43","89,331"
Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
